
FIQE3;UNIFIQUE TELECOMUNICAÇÕES S.A.;3,82;2,98;0,35;4,06;0,0843;10,74;1,28
FRAS3;FRAS-LE;16,30;7,14;1,20;2,56;0,1764;13,55;2,28
FIGE4;INVESTIMENTOS BEMGE;0,00;66,67;3,81;-;0,0271;0,00;0,00
FRIO3;METALFRIO SOLUTIONS;51,00;-107,11;-25,93;-;0,0000;-1,97;-0,48
FRTA3;POMIFRUTAS;2,17;-36,14;-2,77;-;0,0000;-0,78;-0,06
GEPA3;RIO PARANAPANEMA;26,99;22,48;3,61;11,90;0,0000;7,47;1,20
GEPA4;RIO PARANAPANEMA;26,00;22,48;3,61;12,35;0,0000;7,20;1,16
GGBR4;GERDAU;24,57;28,80;4,63;15,34;1,4800;5,30;0,85
GFSA3;GAFISA;5,81;26,68;-3,44;-;0,0000;-1,67;0,21
GMAT3;GRUPO MATEUS S.A.;6,14;3,75;0,52;-;;11,75;1,62
GGBR3;GERDAU;22,20;28,80;4,63;16,94;1,4800;4,80;0,77
GGPS3;GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;18,04;4,39;0,88;1,44;0,0000;20,37;4,11
GOAU3;METALURGICA GERDAU;12,46;17,38;2,66;16,77;0,7500;4,69;0,72
GPAR3;CELGPAR;50,00;9,13;0,55;-;15,1527;91,48;5,48
GOLL4;GOL;9,15;-6,88;0,03;-;0,0000;274,45;-1,33
GOAU4;METALURGICA GERDAU;12,22;17,38;2,66;17,10;0,7500;4,60;0,70
GUAR3;GUARARAPES CONFECÇÕES;6,22;9,99;-0,32;-;0,1405;-18,98;0,62
GRAO3;HUMBERG AGRIBRASIL COM. E EXPORT. DE GRÃOS S.A.;0,00;1,30;0,32;-;0,0429;0,00;0,00
GRND3;GRENDENE;6,87;3,86;0,57;19,47;0,3056;11,91;1,77
GSHP3;GENERAL SHOPPING;16,19;-435,81;-8,74;-;0,0000;-1,85;-0,04
HAGA3;HAGA S/A;2,68;-4,67;0,61;-;0,0000;4,41;-0,57
HAPV3;HAPVIDA;4,60;6,51;-0,14;-;0,0000;-33,71;0,70
HAGA4;HAGA S/A;1,17;-4,67;0,61;-;0,0000;1,91;-0,25
